player_id,player_name,player_display_name,position,position_group,recent_team,total_fantasy_points,total_fantasy_points_ppr
00-0027944,J.Jones,Julio Jones,WR,WR,PHI,27.60,41.60
00-0033893,D.Cook,Dalvin Cook,RB,RB,NYJ,27.50,42.50
00-0032156,T.Siemian,Trevor Siemian,QB,QB,NYJ,26.96,26.96
00-0036020,S.Ahmed,Salvon Ahmed,RB,RB,MIA,26.90,42.90
00-0037292,A.Ogletree,Andrew Ogletree,TE,TE,IND,26.70,35.70
00-0035264,J.Stidham,Jarrett Stidham,QB,QB,DEN,26.64,26.64
00-0033572,J.Agnew,Jamal Agnew,WR,WR,JAX,26.30,40.30
00-0032950,C.Wentz,Carson Wentz,QB,QB,LA,26.12,26.12
00-0036913,K.Toney,Kadarius Toney,WR,WR,KC,26.00,53.00
00-0035993,T.Huntley,Tyler Huntley,QB,QB,BAL,25.62,25.62
00-0038115,D.Bellinger,Daniel Bellinger,TE,TE,NYG,25.50,50.50
00-0034981,F.Moreau,Foster Moreau,TE,TE,NO,25.30,46.30
00-0035860,T.Jones,Tony Jones,RB,RB,NO,25.20,32.20
00-0033555,M.Hollins,Mack Hollins,WR,WR,ATL,25.099999999999998,43.10
00-0035628,D.Johnson,D'Ernest Johnson,RB,RB,JAX,24.80,34.80
00-0038647,R.Bell,Ronnie Bell,WR,WR,SF,24.80,30.80
00-0033439,P.Brown,Pharaoh Brown,TE,TE,NE,24.799999999999997,37.80
00-0030061,Z.Ertz,Zach Ertz,TE,TE,ARI,24.70,51.70
00-0036635,I.Smith-Marsette,Ihmir Smith-Marsette,WR,WR,CAR,24.50,32.50
00-0035140,M.Hardman,Mecole Hardman,WR,WR,NYJ,24.40,44.40
00-0034830,H.Hurst,Hayden Hurst,TE,TE,CAR,24.40,42.40
00-0037742,T.Burks,Treylon Burks,WR,WR,TEN,23.90,39.90
00-0038555,T.Bigsby,Tank Bigsby,RB,RB,JAX,23.80,24.80
00-0027973,A.Dalton,Andy Dalton,QB,QB,CAR,23.64,23.64
00-0034983,H.Renfrow,Hunter Renfrow,WR,WR,LV,23.50,48.50
00-0032392,A.Hooper,Austin Hooper,TE,TE,LV,23.40,48.40
00-0034869,S.Darnold,Sam Darnold,QB,QB,SF,23.38,23.38
00-0038979,C.Tillman,Cedric Tillman,WR,WR,CLE,23.20,44.20
00-0033246,J.Mundt,Johnny Mundt,TE,TE,MIN,23.20,40.20
00-0034159,W.Dissly,Will Dissly,TE,TE,SEA,23.20,40.20
00-0038606,P.Washington,Parker Washington,WR,WR,JAX,23.20,39.20
00-0034854,K.Hodge,KhaDarel Hodge,WR,WR,ATL,23.20,37.20
00-0036297,D.Evans,Darrynton Evans,RB,RB,CHI,23.00,30.00
00-0036626,D.Brown,Dyami Brown,WR,WR,WAS,22.96,34.96
00-0033119,J.Brissett,Jacoby Brissett,QB,QB,WAS,22.86,22.86
00-0038573,D.Davis,Derius Davis,WR,WR,LAC,22.70,37.70
00-0039041,E.Higgins,Elijah Higgins,TE,TE,ARI,22.30,36.30
00-0038583,D.Thompson-Robinson,Dorian Thompson-Robinson,QB,QB,CLE,22.10,22.10
00-0032104,A.Abdullah,Ameer Abdullah,RB,RB,LV,22.00,41.00
00-0031941,J.Crowder,Jamison Crowder,WR,WR,WAS,21.90,37.90
00-0037614,J.Metchie,John Metchie III,WR,WR,HOU,21.50,40.50
00-0037475,S.Smartt,Stone Smartt,TE,TE,LAC,21.50,32.50
00-0036387,J.Reagor,Jalen Reagor,WR,WR,NE,21.50,28.50
00-0033936,C.Beathard,C.J. Beathard,QB,QB,JAX,21.46,21.46
00-0036271,Q.Watkins,Quez Watkins,WR,WR,PHI,21.400000000000002,39.40
00-0034054,R.Cracraft,River Cracraft,WR,WR,MIA,21.40,32.40
00-0036415,V.Jefferson,Van Jefferson,WR,WR,LA,21.30,41.300000000000004
00-0038394,W.Mallory,Will Mallory,TE,TE,IND,20.70,38.699999999999996
00-0033275,P.Walker,P.J. Walker,QB,QB,CLE,19.959999999999997,19.959999999999997
00-0035973,P.Taylor,Patrick Taylor,RB,RB,GB,19.60,30.60
00-0037557,R.Rivers,Ronnie Rivers,RB,RB,LA,19.50,27.50
00-0037487,D.Thompkins,Deven Thompkins,WR,WR,TB,19.299999999999997,37.30
00-0038547,L.Schoonmaker,Luke Schoonmaker,TE,TE,DAL,19.20,28.20
00-0034407,R.McCloud,Ray-Ray McCloud,WR,WR,SF,19.10,33.10
00-0034791,N.Chubb,Nick Chubb,RB,RB,CLE,19.10,23.10
00-0038941,T.Scott,Tyler Scott,WR,WR,CHI,18.90,35.90
00-0032688,R.Chosen,Robbie Chosen,WR,WR,MIA,18.60,22.60
00-0038465,M.Heath,Malik Heath,WR,WR,GB,18.50,33.50
00-0039074,D.Allen,Davis Allen,TE,TE,LA,18.30,30.30
00-0037286,K.Harris,Kevin Harris,RB,RB,NE,18.30,21.30
00-0037273,K.Philips,Kyle Philips,WR,WR,TEN,18.099999999999998,33.10
00-0036754,B.Wright,Brock Wright,TE,TE,DET,18.00,32.00
00-0036898,D.Mills,Davis Mills,QB,QB,HOU,17.66,17.66
00-0036984,T.Sermon,Trey Sermon,RB,RB,IND,17.30,20.30
00-0037304,C.Heyward,Connor Heyward,TE,TE,PIT,17.20,41.20
00-0031585,M.Pruitt,MyCole Pruitt,TE,TE,ATL,17.00,26.00
00-0035657,D.Harris,Damien Harris,RB,RB,BUF,17.00,19.00
00-0032144,M.Gordon,Melvin Gordon,RB,RB,BAL,16.70,19.70
00-0034297,B.Pringle,Byron Pringle,WR,WR,WAS,16.10,30.10
00-0034970,I.Smith,Irv Smith,TE,TE,CIN,15.50,33.50
00-0036233,D.Peoples-Jones,Donovan Peoples-Jones,WR,WR,CLE,15.50,28.50
00-0036887,L.Farrell,Luke Farrell,TE,TE,JAX,15.50,28.50
00-0037539,L.Krull,Lucas Krull,TE,TE,DEN,15.500000000000002,23.50
00-0038797,E.Wilson,Emanuel Wilson,RB,RB,GB,15.50,20.50
00-0038589,J.Whyle,Josh Whyle,TE,TE,TEN,15.40,24.40
00-0034487,T.Sherfield,Trent Sherfield,WR,WR,BUF,15.299999999999999,27.30
00-0036628,J.Bates,John Bates,TE,TE,WAS,15.10,34.10
00-0037805,J.Ruckert,Jeremy Ruckert,TE,TE,NYJ,15.10,31.10
00-0038046,C.Kolar,Charlie Kolar,TE,TE,BAL,15.10,23.10
00-0035414,J.Guyton,Jalen Guyton,WR,WR,LAC,14.90,24.90
00-0038618,X.Hutchinson,Xavier Hutchinson,WR,WR,HOU,14.799999999999999,26.80
00-0038104,T.Thornton,Tyquan Thornton,WR,WR,NE,14.20,27.200000000000003
00-0036862,B.Skowronek,Ben Skowronek,WR,WR,LA,14.00,23.00
00-0032436,J.Driskel,Jeff Driskel,QB,QB,CLE,13.94,13.94
00-0036955,T.Marshall,Terrace Marshall Jr.,WR,WR,CAR,13.899999999999999,32.90
00-0034414,B.Scott,Boston Scott,RB,RB,PHI,13.80,17.80
00-0036326,C.Claypool,Chase Claypool,WR,WR,CHI,13.70,21.70
00-0038576,C.Jones,Charlie Jones,WR,WR,CIN,13.70,20.70
00-0034364,J.Akins,Jordan Akins,TE,TE,CLE,13.20,28.20
00-0038045,I.Spiller,Isaiah Spiller,RB,RB,LAC,13.00,19.00
00-0036438,S.Sullivan,Stephen Sullivan,TE,TE,CAR,12.50,24.50
00-0032385,S.Shepard,Sterling Shepard,WR,WR,NYG,12.30,22.30
00-0037120,T.Goodson,Tyler Goodson,RB,RB,IND,12.100000000000001,18.10
00-0034286,R.James,Richie James,WR,WR,KC,12.00,23.00
00-0037078,C.Turner,Cole Turner,TE,TE,WAS,12.00,23.00
00-0031503,J.Winston,Jameis Winston,QB,QB,NO,11.96,11.96
00-0035125,A.Ingold,Alec Ingold,FB,RB,MIA,11.90,24.90
00-0028002,R.Cobb,Randall Cobb,WR,WR,NYJ,11.90,16.90
00-0032134,C.Uzomah,C.J. Uzomah,TE,TE,NYJ,11.80,19.80
00-0032268,M.Mariota,Marcus Mariota,QB,QB,PHI,11.76,11.76
00-0038492,J.Brownlee,Jason Brownlee,WR,WR,NYJ,11.60,16.60
00-0035045,D.Montgomery,D.J. Montgomery,WR,WR,IND,11.600000000000001,14.600000000000001
00-0036364,L.Bowden,Lynn Bowden,WR,WR,NO,11.50,22.50
00-0036268,L.Shenault,Laviska Shenault Jr.,WR,WR,CAR,11.50,21.50
00-0038389,I.Abanikanda,Israel Abanikanda,RB,RB,NYJ,11.30,18.30
00-0033757,R.Tonyan,Robert Tonyan,TE,TE,CHI,11.20,22.20
00-0033376,P.Ricard,Patrick Ricard,FB,RB,BAL,11.200000000000001,16.20
00-0037429,R.Blackshear,Raheem Blackshear,RB,RB,CAR,11.10,17.099999999999998
00-0029239,B.Bolden,Brandon Bolden,RB,RB,LV,11.10,11.10
00-0036269,L.Perine,La'Mical Perine,RB,RB,KC,11.00,14.00
00-0034177,T.Boyle,Tim Boyle,QB,QB,NYJ,10.90,10.90
00-0038685,C.Brooks,Chris Brooks,RB,RB,MIA,10.60,10.60
00-0035639,P.Campbell,Parris Campbell,WR,WR,NYG,10.40,30.400000000000002
00-0032128,C.Conley,Chris Conley,WR,WR,SF,10.40,15.40
00-0030068,M.Goodwin,Marquise Goodwin,WR,WR,CLE,10.00,14.00
00-0037299,K.Ingram,Keaontay Ingram,RB,RB,ARI,10.00,14.00
00-0037098,S.Toure,Samori Toure,WR,WR,GB,9.80,17.80
00-0028986,C.Keenum,Case Keenum,QB,QB,HOU,9.74,9.74
00-0034317,K.Kirkwood,Keith Kirkwood,WR,WR,NO,9.70,14.700000000000001
00-0038738,H.Luepke,Hunter Luepke,FB,RB,DAL,9.70,12.70
00-0036158,J.Dobbins,J.K. Dobbins,RB,RB,BAL,9.70,11.70
00-0033466,I.McKenzie,Isaiah McKenzie,WR,WR,IND,9.60,20.60
00-0036145,L.Cager,Lawrence Cager,TE,TE,NYG,9.60,13.60
00-0038935,B.Strange,Brenton Strange,TE,TE,JAX,9.499999999999998,14.499999999999998
00-0032141,G.Swaim,Geoff Swaim,TE,TE,ARI,9.40,19.40
00-0024243,M.Lewis,Marcedes Lewis,TE,TE,CHI,8.90,12.90
00-0034928,S.Sims,Steven Sims,WR,WR,HOU,8.60,11.60
00-0036590,Q.Morris,Quintin Morris,TE,TE,BUF,8.60,10.60
00-0038809,B.Sims,Ben Sims,TE,TE,GB,8.50,13.50
00-0034433,N.Bawden,Nick Bawden,FB,RB,NYJ,8.50,11.50
00-0036497,T.Jones,Tim Jones,WR,WR,JAX,8.30,19.30
00-0038622,D.Vaughn,Deuce Vaughn,RB,RB,DAL,8.00,15.00
00-0035291,T.Williams,Trayveon Williams,RB,RB,CIN,7.90,14.90
00-0036424,B.Hopkins,Brycen Hopkins,TE,TE,LA,7.800000000000001,12.80
00-0039050,P.Durham,Payne Durham,TE,TE,TB,7.60,13.60
00-0038582,C.Tune,Clayton Tune,QB,QB,ARI,7.4799999999999995,7.4799999999999995
00-0033854,D.Ogunbowale,Dare Ogunbowale,RB,RB,HOU,7.30,10.30
00-0037745,V.Jones,Velus Jones Jr.,RB,RB,CHI,7.10,11.10
00-0036630,T.Wallace,Tylan Wallace,WR,WR,BAL,7.10,8.10
00-0038396,E.Gray,Eric Gray,RB,RB,NYG,7.00,13.00
00-0036646,S.Fehoko,Simi Fehoko,WR,WR,LAC,6.90,7.90
00-0036427,T.Johnson,Tyler Johnson,WR,WR,LA,6.80,8.80
00-0034955,B.Rypien,Brett Rypien,QB,QB,LA,6.779999999999999,6.779999999999999
00-0032062,B.Bell,Blake Bell,TE,TE,KC,6.60,11.60
00-0036569,G.Brightwell,Gary Brightwell,RB,RB,NYG,6.60,11.60
00-0036332,J.Deguara,Josiah Deguara,TE,TE,GB,6.50,14.50
00-0038640,J.Brooks,Jalen Brooks,WR,WR,DAL,6.3999999999999995,12.40
00-0034208,M.Boone,Mike Boone,RB,RB,HOU,6.300000000000001,13.30
00-0036425,D.Dallas,DeeJay Dallas,RB,RB,SEA,6.20,12.20
00-0034279,E.St. Brown,Equanimeous St. Brown,WR,WR,CHI,6.20,11.20
00-0035643,J.Simmons,Jeffery Simmons,DT,DL,TEN,6.2,7.2
00-0037311,K.Kieft,Ko Kieft,TE,TE,TB,6.20,7.20
00-0038558,D.Washington,Darnell Washington,TE,TE,PIT,6.10,13.10
00-0038821,R.Jarrett,Rakim Jarrett,WR,WR,TB,6.00,10.00
00-0029764,C.Davis,Cody Davis,FS,DB,NE,6,6
00-0036287,N.Igbinoghene,Noah Igbinoghene,CB,DB,DAL,6,6
00-0036672,G.Stuard,Grant Stuard,MLB,LB,IND,6,6
00-0027948,B.Gabbert,Blaine Gabbert,QB,QB,KC,5.90,5.90
00-0031763,D.Carter,DeAndre Carter,WR,WR,LV,5.70,9.70
00-0035771,M.Wilcox,Mitchell Wilcox,TE,TE,CIN,5.60,14.60
00-0034365,I.Thomas,Ian Thomas,TE,TE,CAR,5.60,10.60
00-0030874,D.Williams,Damien Williams,RB,RB,ARI,5.50,7.50
00-0037216,J.Ross,Justyn Ross,WR,WR,KC,5.30,11.30
00-0026625,B.Hoyer,Brian Hoyer,QB,QB,LV,4.94,4.94
00-0032200,T.Montgomery,Ty Montgomery,WR,WR,NE,4.90,9.90
00-0036482,M.Strachan,Mike Strachan,WR,WR,CAR,4.50,5.50
00-0036450,K.Vaughn,Ke'Shawn Vaughn,RB,RB,TB,4.40,6.40
00-0037132,B.Covey,Britain Covey,WR,WR,PHI,4.20,8.20
00-0035645,G.Olszewski,Gunner Olszewski,WR,WR,PIT,4.00,5.00
00-0033856,L.Fournette,Leonard Fournette,RB,RB,BUF,4.00,4.00
00-0037086,G.Calcaterra,Grant Calcaterra,TE,TE,PHI,3.9000000000000004,7.8999999999999995
00-0036741,J.Stoll,Jack Stoll,TE,TE,PHI,3.80,8.80
00-0037569,P.Hendershot,Peyton Hendershot,TE,TE,DAL,3.80,7.80
00-0038667,E.Cooks,Elijah Cooks,WR,WR,JAX,3.80,6.80
00-0034750,R.Penny,Rashaad Penny,RB,RB,PHI,3.80,4.80
00-0031595,M.Burton,Michael Burton,FB,RB,DEN,3.70,6.70
00-0035120,K.Doss,Keelan Doss,WR,WR,LAC,3.30,9.30
00-0036331,D.Duvernay,Devin Duvernay,WR,WR,BAL,3.30,7.30
00-0030968,K.Smith,Keith Smith,FB,RB,ATL,3.30,6.30
00-0037277,T.Quitoriano,Teagan Quitoriano,TE,TE,HOU,3.3000000000000003,5.300000000000001
00-0033662,C.Rush,Cooper Rush,QB,QB,DAL,3.26,3.26
00-0036429,C.Woerner,Charlie Woerner,TE,TE,SF,3.20,6.20
00-0032918,C.Ham,C.J. Ham,FB,RB,MIN,3.20,10.20
00-0038951,S.Tucker,Sean Tucker,RB,RB,TB,3.1999999999999997,5.20
00-0036124,K.Dorsey,Khalil Dorsey,CB,DB,DET,3.1,4.1
00-0038128,M.Willis,Malik Willis,QB,QB,TEN,3.06,3.06
00-0036841,A.Trammell,Austin Trammell,WR,WR,LA,2.90,6.90
00-0037291,J.Nailor,Jalen Nailor,WR,WR,MIN,2.9000000000000004,5.90
00-0035934,T.Jackson,Trishton Jackson,WR,WR,MIN,2.9000000000000004,4.90
00-0038720,J.Hill,Julian Hill,TE,TE,MIA,2.80,8.80
00-0035099,K.Blasingame,Khari Blasingame,FB,RB,CHI,2.8000000000000003,5.80
00-0036510,K.Yeboah,Kenny Yeboah,TE,TE,NYJ,2.80,4.80
00-0037282,J.Mitchell,James Mitchell,TE,TE,DET,2.80,4.80
00-0035715,D.Gore,Derrick Gore,RB,RB,WAS,2.5999999999999996,2.5999999999999996
00-0037252,G.Dulcich,Greg Dulcich,TE,TE,DEN,2.50,5.50
00-0038783,N.Adkins,Nate Adkins,TE,TE,DEN,2.20,6.20
00-0036860,J.Funk,Jake Funk,RB,RB,IND,2.20,3.20
00-0037317,N.Muse,Nick Muse,TE,TE,MIN,2.20,3.20
00-0038092,E.Ezukanma,Erik Ezukanma,WR,WR,MIA,2.20,2.20
00-0038598,J.Hall,Jaren Hall,QB,QB,MIN,2.12,2.12
00-0035259,T.Wesco,Trevon Wesco,TE,TE,TEN,2.10,3.10
00-0037157,Z.Knight,Bam Knight,RB,RB,DET,2.10,3.10
00-0037827,T.Davis-Price,Tyrion Davis-Price,RB,RB,SF,2.10,2.10
00-0034401,M.White,Mike White,QB,QB,MIA,2.06,2.06
00-0029692,B.Anger,Bryan Anger,P,SPEC,DAL,2,2
00-0035688,T.Pipkins,Trey Pipkins,T,OL,LAC,2,2
00-0036982,C.Golston,Chauncey Golston,DE,DL,DAL,2,2
00-0033251,Z.Pascal,Zach Pascal,WR,WR,ARI,1.90,5.90
00-0038608,K.Boutte,Kayshon Boutte,WR,WR,NE,1.9000000000000001,3.9000000000000004
00-0038862,E.Dotson,Elijah Dotson,RB,RB,LAC,1.90,3.90
00-0039136,Z.Evans,Zach Evans,RB,RB,LA,1.90,1.90
00-0036504,B.Echols,Brandin Echols,CB,DB,NYJ,1.8,2.8
00-0035703,M.Boykin,Miles Boykin,WR,WR,PIT,1.70,4.70
00-0031484,C.Manhertz,Chris Manhertz,TE,TE,DEN,1.60,3.60
00-0032951,L.Treadwell,Laquon Treadwell,WR,WR,BAL,1.60,2.60
00-0033557,J.Reeves-Maybin,Jalen Reeves-Maybin,OLB,LB,DET,1.54,1.54
00-0029293,M.Jones,Marvin Jones,WR,WR,DET,1.50,6.50
00-0030663,W.Snead,Willie Snead,WR,WR,SF,1.40,3.40
00-0033296,A.Armah,Alex Armah,RB,RB,WAS,1.30,4.30
00-0037410,J.Corbin,Jashaun Corbin,RB,RB,NYG,1.30,4.30
00-0035184,D.Ozigbo,Devine Ozigbo,RB,RB,DET,1.30,2.30
00-0036842,K.Nwangwu,Kene Nwangwu,RB,RB,MIN,1.30,1.30
00-0035480,M.Taylor,Malik Taylor,WR,WR,NYJ,1.2999999999999998,3.30
00-0038391,S.Clifford,Sean Clifford,QB,QB,GB,1.28,1.28
00-0033576,E.Saubert,Eric Saubert,TE,TE,HOU,1.20,4.20
00-0034073,R.Dwelley,Ross Dwelley,TE,TE,SF,1.20,2.20
00-0035726,J.Johnson,Jakob Johnson,FB,RB,LV,1.20,2.20
00-0037306,J.FitzPatrick,John FitzPatrick,TE,TE,ATL,1.20,2.20
00-0036313,B.Mann,Braden Mann,P,SPEC,PHI,1.12,1.12
00-0033118,K.Drake,Kenyan Drake,RB,RB,BAL,1.10,3.10
00-0036336,A.McFarland,Anthony McFarland,RB,RB,PIT,1.10,3.10
00-0036254,C.Johnson,Collin Johnson,WR,WR,CHI,1.10,2.10
00-0036857,C.Evans,Chris Evans,RB,RB,CIN,1.10,2.10
00-0035133,K.Nixon,Keisean Nixon,CB,DB,GB,1.1,1.1
00-0035924,J.Ward,Jonathan Ward,RB,RB,TEN,1.10,1.10
00-0035164,C.Thompson,Cody Thompson,WR,WR,SEA,1.00,2.00
00-0035859,B.Gillikin,Blake Gillikin,P,SPEC,ARI,1,1
00-0037654,T.Fisk,Tucker Fisk,TE,TE,ATL,0.90,1.90
00-0033455,A.Firkser,Anthony Firkser,TE,TE,DET,0.80,1.80
00-0031288,A.McCarron,AJ McCarron,QB,QB,CIN,0.76,0.76
00-0027114,T.Morstead,Thomas Morstead,P,SPEC,NYJ,0.72,0.72
00-0038397,E.Hull,Evan Hull,RB,RB,IND,0.70,1.70
00-0034193,K.Rader,Kevin Rader,TE,TE,TEN,0.60,1.60
00-0036176,M.Kinsey,Mason Kinsey,WR,WR,TEN,0.60,1.60
00-0037289,M.Rodriguez,Malcolm Rodriguez,ILB,LB,DET,0.6,1.6
00-0037506,C.Fotheringham,Cole Fotheringham,TE,TE,LV,0.60,1.60
00-0034437,L.Cooke,Logan Cooke,P,SPEC,JAX,0.52,0.52
00-0036620,D.Eskridge,Dee Eskridge,WR,WR,SEA,0.50,0.50
00-0035889,T.Townsend,Tommy Townsend,P,SPEC,KC,0.44,0.44
00-0033863,D.Skipper,Dan Skipper,T,OL,DET,0.4,1.4
00-0035562,J.Horsted,Jesper Horsted,TE,TE,LV,0.40,1.40
00-0036727,A.Prentice,Adam Prentice,FB,RB,NO,0.3999999999999999,2.40
00-0032394,N.Vannett,Nick Vannett,TE,TE,LAC,0.30,1.30
00-0036187,R.Gilliam,Reggie Gilliam,FB,RB,BUF,0.30,1.30
00-0038632,C.Dowell,Colton Dowell,WR,WR,TEN,0.30,1.30
00-0036329,A.Davis,Ashtyn Davis,SS,DB,NYJ,0.30000000000000004,0.30000000000000004
00-0035956,G.Ricci,Giovanni Ricci,TE,TE,CAR,0.20,1.20
00-0037420,K.Lassiter,Kwamie Lassiter,WR,WR,CIN,0.20,1.20
00-0038627,A.Green,Antoine Green,WR,WR,DET,0.20,1.20
00-0034490,E.Turner,Ezekiel Turner,ILB,LB,ARI,0.2,0.2
00-0035632,A.Hooker,Amani Hooker,FS,DB,TEN,0.2,0.2
00-0036888,D.Hamlin,Damar Hamlin,SS,DB,BUF,0.2,0.2
00-0032217,D.Smith,Donovan Smith,T,OL,KC,0,1
00-0034171,J.Cabinda,Jason Cabinda,FB,RB,DET,0.00,1.00
00-0035831,J.Robinson,James Robinson,RB,RB,GB,0.00,1.00
00-0036132,B.Bredeson,Ben Bredeson,G,OL,NYG,0,1
00-0023459,A.Rodgers,Aaron Rodgers,QB,QB,NYJ,0.00,0.00
00-0030140,T.Way,Tress Way,P,SPEC,WAS,0,0
00-0031868,D.Byrd,Damiere Byrd,WR,WR,ATL,0.00,0.00
00-0032208,P.Dorsett,Phillip Dorsett,WR,WR,DEN,0.00,0.00
00-0035527,A.Isabella,Andy Isabella,WR,WR,BUF,0.00,0.00
00-0035593,J.Winfree,Juwann Winfree,WR,WR,IND,0.00,0.00
00-0035594,T.Homer,Travis Homer,RB,RB,CHI,0.00,0.00
00-0035806,J.Hasty,JaMycal Hasty,RB,RB,JAX,0.00,0.00
00-0036032,S.McKeon,Sean McKeon,TE,TE,DAL,0.00,0.00
00-0036133,J.Proche,James Proche,WR,WR,CLE,0.00,0.00
00-0036423,A.Okwuegbunam,Albert Okwuegbunam,TE,TE,PHI,0.00,0.00
00-0036648,N.Niemann,Nick Niemann,ILB,LB,LAC,0,0
00-0036991,A.Rodgers,Amari Rodgers,WR,WR,IND,0.00,0.00
00-0037156,I.Charles,Irvin Charles,WR,WR,NYJ,0.00,0.00
00-0037451,R.Williams,Rod Williams,TE,TE,PIT,0.00,0.00
00-0038490,T.Zentner,Ty Zentner,P,SPEC,TEN,0,0
00-0038678,J.Mims,Jordan Mims,RB,RB,NO,0.00,0.00
00-0038891,S.Jackson,Shedrick Jackson,WR,WR,CIN,0.00,0.00
00-0038911,M.Cunningham,Malik Cunningham,WR,WR,NE,0.00,0.00
00-0036928,K.Trask,Kyle Trask,QB,QB,TB,-0.10,-0.10
00-0031237,T.Bridgewater,Teddy Bridgewater,QB,QB,DET,-0.20,-0.20
00-0032975,J.Williams,Jonathan Williams,RB,RB,WAS,-0.20,-0.20
00-0033292,T.Taylor,Trent Taylor,WR,WR,CHI,-0.20,-0.20
00-0030533,M.Barkley,Matt Barkley,QB,QB,JAX,-0.30,-0.30
00-0034438,L.Woodside,Logan Woodside,QB,QB,ATL,-0.32,-0.32
00-0033958,N.Peterman,Nathan Peterman,QB,QB,CHI,-0.40,-0.40
00-0036493,D.Jackson,Deon Jackson,RB,RB,IND,-1.00,4.00
00-0034575,D.Wells,David Wells,TE,TE,TB,-1.00,1.00
00-0034577,K.Allen,Kyle Allen,QB,QB,BUF,-1.30,-1.30
00-0033729,C.Johnston,Cameron Johnston,P,SPEC,HOU,-2.3,-2.3
00-0028872,J.Hekker,Johnny Hekker,P,SPEC,CAR,-2.82,-2.82
00-0037607,R.Stonehouse,Ryan Stonehouse,P,SPEC,TEN,-3.1,-3.1
